,rank_year,ranks,title,author,no_of_reviews,ratings,price,cover_type,genre
313,2012,21.0,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,7012.0,4.7,23.99,Paperback,Non Fiction
314,2012,22.0,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,2346.0,4.8,17.99,Hardcover,Non Fiction
315,2012,23.0,"Thinking, Fast and Slow",Daniel Kahneman,29732.0,4.6,23.87,Hardcover,Non Fiction
316,2012,24.0,The Casual Vacancy,J.K. Rowling,10955.0,3.4,11.0,Hardcover,Fiction
317,2012,25.0,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,19005.0,4.7,9.49,Paperback,Fiction
318,2012,26.0,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,22727.0,4.7,19.19,Hardcover,Non Fiction
319,2012,27.0,Steve Jobs,Walter Isaacson,12780.0,4.7,17.33,Hardcover,Non Fiction
320,2012,28.0,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,8638.0,4.4,13.96,Hardcover,Non Fiction
321,2012,29.0,"Oh, the Places You'll Go!",Dr. Seuss,42848.0,4.9,8.48,Hardcover,Fiction
322,2012,30.0,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,1676.0,4.6,19.99,Paperback,Non Fiction
323,2012,31.0,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,6269.0,4.6,20.72,Hardcover,Non Fiction
324,2012,32.0,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,20015.0,4.6,23.01,Hardcover,Non Fiction
325,2012,33.0,The Great Gatsby: The Only Authorized Edition,F. Scott Fitzgerald,18656.0,4.5,6.79,Paperback,Fiction
326,2012,34.0,The Racketeer,John Grisham,24614.0,4.4,20.15,Hardcover,Fiction
